mean_degree,median_degree,mean_clustering,median_clustering,degree_C3,clustering_C3,degree_C4,clustering_C4,subject,epoch_idx
0.8797435761976347,0.4708963466608605,0.2578125,0.0,0.0,0.0,0.0,0.0,1,0
0.8316588185206857,0.8649327375286584,0.2265625,0.0,1.3292484050827726,0.6666666666666666,0.4290919598309992,0.0,1,1
0.8638346387078384,0.46186862593452016,0.24010416666666667,0.0,0.4476775338999637,0.0,0.0,0.0,1,2
0.8623998779564658,0.8924021511577215,0.2772321428571428,0.0,0.44161135630839304,0.0,0.4570049388177186,0.0,1,3
0.8673628802886271,0.4990325617769781,0.22157738095238094,0.0,0.44520594953174675,0.0,0.8942453145570988,0.0,1,4
0.8641514490425293,0.903825511350679,0.20833333333333334,0.0,1.3771189953864416,0.0,0.0,0.0,1,5
0.8775522917176204,0.9105932080857502,0.2640625,0.0,0.45564599309881404,0.0,0.0,0.0,1,6
0.8738558831236317,0.9195693625560681,0.2989583333333333,0.0,0.46663566134512996,0.0,0.9283947024136713,1.0,1,7
0.8681865168040201,0.9142331543387086,0.2890625,0.0,0.0,0.0,0.46631087470107974,0.0,1,8
0.8713948192061958,0.9155590473212656,0.33333333333333337,0.0,1.3577793272639127,0.3333333333333333,0.45572906574918376,0.0,1,9
0.8706846028169837,0.4879355226707662,0.1869047619047619,0.0,0.4509559950956365,0.0,0.0,0.0,1,10
0.8619131199693837,0.9029555207570313,0.240625,0.0,0.0,0.0,0.0,0.0,1,11
0.8891682844760745,0.47325916310177585,0.2128720238095238,0.0,0.0,0.0,0.0,0.0,1,12
0.8666203358010149,0.6856026757840966,0.1875,0.0,0.4430577970663231,0.0,0.4400494604313747,0.0,1,13
0.8660744813622866,0.8981827093619927,0.28541666666666665,0.0,0.0,0.0,0.0,0.0,1,14
0.8722663147861551,0.9142635879287765,0.25520833333333337,0.0,0.45944300467325605,0.0,0.0,0.0,1,15
0.8621041723006629,0.8997504384472845,0.2671875,0.0,0.0,0.0,0.0,0.0,1,16
0.875742477482525,0.4624449151517929,0.2634672619047619,0.0,0.0,0.0,0.0,0.0,1,17
0.8759493489839599,0.4685775457693102,0.25,0.0,0.0,0.0,0.0,0.0,1,18
0.8682233488271366,0.4631914645864442,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,1,19
0.8830994318893657,0.46809097424088314,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,1,20
0.8692112274380244,0.4637011943979289,0.17362351190476188,0.0,0.0,0.0,0.0,0.0,1,21
0.8830103669378355,0.9142569219288277,0.27633928571428573,0.0,0.0,0.0,0.0,0.0,1,22
0.8742819635046346,0.9085237992465508,0.2515625,0.0,0.0,0.0,0.0,0.0,1,23
0.8781237361232577,0.46224266228484706,0.2861607142857142,0.0,0.0,0.0,0.0,0.0,1,24
0.8659448969108512,0.6864490372086973,0.203125,0.0,0.44496925114001584,0.0,0.0,0.0,1,25
0.8613839913143138,0.4754249143990592,0.17239583333333333,0.0,0.9239387822826757,0.0,1.3605222168890623,0.0,1,26
0.8572054585863049,0.45936575975791194,0.24032738095238093,0.0,0.9117371545915267,0.0,0.0,0.0,1,27
0.8737994255768939,0.9174066195250514,0.30208333333333337,0.0,1.8612226243086416,0.5,1.3938722031739967,0.6666666666666666,1,28
0.8751901799427253,0.9110329095881938,0.19479166666666664,0.0,0.45474715369324187,0.0,0.0,0.0,1,29
0.8742404581376012,0.456397698255569,0.2851934523809524,0.0,0.0,0.0,0.0,0.0,2,0
0.8478792698852855,0.44834228827432676,0.25022321428571426,0.0,0.0,0.0,0.0,0.0,2,1
0.8535526225155576,0.4657639453143575,0.19092261904761904,0.0,0.0,0.0,0.0,0.0,2,2
0.8004884236580219,0.8323391479889398,0.20416666666666666,0.0,0.8378067064067232,0.0,0.8545346872293267,0.0,2,3
